name,category,address,phone,website,rating,reviews_count,opening_hours,url
Barbie Green,مطعم مأكولات أسترالية,"العنوان: 2 London Wall Pl, Barbican, London EC2Y 5AU، المملكة المتحدة",الهاتف: +44 20 4512 8540,https://www.daisygreenfood.com/,4.3,N/A,N/A,https://www.google.com/maps/place/Barbie+Green/data=!4m7!3m6!1s0x48761dd916b82433:0x24e6863e4e52c9b!8m2!3d51.5177893!4d-0.092495!16s%2Fg%2F11j0186pv7!19sChIJMyS4FtkddkgRmyzl5GNoTgI
1 Lombard Street Bar & Restaurant,مطعم,"العنوان: 1 Lombard St, London EC3V 9AA، المملكة المتحدة",الهاتف: +44 20 7929 6611,https://www.1lombardstreet.com/?utm_source=GMB&utm_medium=website%20click&utm_campaign=SDM&utm_id=GMB,4.6,N/A,N/A,https://www.google.com/maps/place/1+Lombard+Street+Bar+%26+Restaurant/data=!4m7!3m6!1s0x487603548e463f33:0x9c47926ed9d29afc!8m2!3d51.5131379!4d-0.0889895!16s%2Fm%2F04p6_d0!19sChIJMz9GjlQDdkgR_JrS2W6SR5w
Harry's Bar & Dining Room,مطعم وحانة للنبيذ,"العنوان: 5 Abchurch Yard, London EC4N 7BA، المملكة المتحدة",الهاتف: +44 20 7623 2355,http://harrys.co.uk/abchurch/,4.4,N/A,N/A,https://www.google.com/maps/place/Harry%27s+Bar+%26+Dining+Room/data=!4m7!3m6!1s0x4876035471abfb29:0xb38da01f4c126917!8m2!3d51.5114653!4d-0.088582!16s%2Fg%2F1xtf10xl!19sChIJKfurcVQDdkgRF2kSTB-gjbM
Malibu Kitchen,مطعم مأكولات من كاليفورنيا,"العنوان: 27 Poultry, London EC2R 8AJ، المملكة المتحدة",الهاتف: +44 20 3828 2000,https://www.thened.com/london/restaurants/malibu-kitchen?utm_source=google&utm_medium=organic&utm_campaign=google_local_malibu_kitchen,4.4,N/A,N/A,https://www.google.com/maps/place/Malibu+Kitchen/data=!4m7!3m6!1s0x48760354c184b865:0x1fefa6901d3f4a59!8m2!3d51.5136729!4d-0.090121!16s%2Fg%2F11dxnnbkg3!19sChIJZbiEwVQDdkgRWUo_HZCm7x8
Cinnamon Kitchen,مطعم هندي حديث,"العنوان: 9 Devonshire Square, London EC2M 4YL، المملكة المتحدة",الهاتف: +44 20 7626 5000,https://www.cinnamon-kitchen.com/,4.3,N/A,N/A,https://www.google.com/maps/place/Cinnamon+Kitchen/data=!4m7!3m6!1s0x48761cb321d5067f:0xcd5ba29e652dc6c5!8m2!3d51.5173908!4d-0.0784271!16s%2Fg%2F1hc1kc0xy!19sChIJfwbVIbMcdkgRxcYtZZ6iW80
The India - Cannon Street,مطعم مأكولات هندية,"العنوان: 21 College Hill, Cannon St, London EC4R 2RP، المملكة المتحدة",الهاتف: +44 20 7248 5855,N/A,4.7,N/A,N/A,https://www.google.com/maps/place/The+India+-+Cannon+Street/data=!4m7!3m6!1s0x48760355bb83bd49:0x59878a3027d6dca!8m2!3d51.5115027!4d-0.0921333!16s%2Fg%2F1tdkr876!19sChIJSb2Du1UDdkgRym19AqN4mAU
The Ivy Asia St Paul's,مطعم مأكولات آسيوية,"العنوان: 20 New Change, London EC4M 9AG، المملكة المتحدة",الهاتف: +44 20 3971 2600,https://theivyasia.com/asian-food-near-me/asian-restaurants-london/the-ivy-asia-st-pauls/,4.5,N/A,N/A,https://www.google.com/maps/place/The+Ivy+Asia+St+Paul%27s/data=!4m7!3m6!1s0x487605721216b38b:0xac43e93c468d45b8!8m2!3d51.5137393!4d-0.0960159!16s%2Fg%2F11fn5sx2kz!19sChIJi7MWEnIFdkgRuEWNRjzpQ6w
Bar 1790,بار خمور/نبيذ,"العنوان: 21-23 St Swithin's Ln, London EC4N 8AD، المملكة المتحدة",الهاتف: +44 20 7621 1148,http://www.bar1790london.com/,4.8,N/A,N/A,https://www.google.com/maps/place/Bar+1790/data=!4m7!3m6!1s0x48760331f2f7370f:0x217823bb23d1adec!8m2!3d51.5119595!4d-0.088938!16s%2Fg%2F11tn086dzs!19sChIJDzf38jEDdkgR7K3RI7sjeCE
Fishcotheque,مطعم أسماك ومقليات,"العنوان: 79A Waterloo Rd, London SE1 8UD، المملكة المتحدة",الهاتف: +44 20 7803 9892,N/A,4.6,N/A,N/A,https://www.google.com/maps/place/Fishcotheque/data=!4m7!3m6!1s0x487604b9fba79e93:0xfb1d719d6499c309!8m2!3d51.5040056!4d-0.1116917!16s%2Fg%2F1tmql7wv!19sChIJk56n-7kEdkgRCcOZZJ1xHfs
Steak & Lobster Marble Arch,مطعم شرائح اللحم,"العنوان: 19-25 Granville Pl, London W1H 6PA، المملكة المتحدة",الهاتف: +44 20 7666 2690,https://www.opentable.co.uk/r/marble-arch-lounge-marble-arch,4.1,N/A,N/A,https://www.google.com/maps/place/Steak+%26+Lobster+Marble+Arch/data=!4m7!3m6!1s0x48760532d615c105:0x9bb760830879e071!8m2!3d51.5144142!4d-0.1557666!16s%2Fg%2F1pp2tkkhq!19sChIJBcEV1jIFdkgRceB5CINgt5s
Fenchurch Restaurant,مطعم راقٍ,"العنوان: Level 37, Sky Garden Walk, 1, London EC3M 8AF، المملكة المتحدة",الهاتف: +44 333 772 0020,http://skygarden.london/fenchurch-restaurant,4.3,N/A,N/A,https://www.google.com/maps/place/Fenchurch+Restaurant/data=!4m7!3m6!1s0x487603526836fd3b:0x21beb2f197a955f6!8m2!3d51.5112052!4d-0.0837562!16s%2Fg%2F11b6_k3kgk!19sChIJO_02aFIDdkgR9lWpl_GyviE
Kirin,مطعم مأكولات صينية,"العنوان: 10 College Hill, London EC4R 2RP، المملكة المتحدة",الهاتف: +44 20 7248 0253,http://www.kirins.co.uk/,4.3,N/A,N/A,https://www.google.com/maps/place/Kirin/data=!4m7!3m6!1s0x48760355bc5be849:0xfc22501e061726a!8m2!3d51.5111129!4d-0.0924813!16s%2Fg%2F11b6qjn6k6!19sChIJSehbvFUDdkgRanJh4AElwg8
Los Mochis London City,مطعم مأكولات مكسيكية,"العنوان: 100 Liverpool St, London EC2M 2AT، المملكة المتحدة",الهاتف: +44 20 7225 2502,https://www.losmochis.co.uk/lc/london-city,4.5,N/A,N/A,https://www.google.com/maps/place/Los+Mochis+London+City/data=!4m7!3m6!1s0x48761db8fa1dda59:0xf6eb3b316e5cdba!8m2!3d51.5178587!4d-0.0835832!16s%2Fg%2F11l6mdhlc9!19sChIJWdod-rgddkgRus3lFrOzbg8
Mosaic,مطعم,"العنوان: 60 Upper Thames St., London EC4V 3AD، المملكة المتحدة",الهاتف: +44 20 3988 0143,https://www.marriott.com/en-us/hotels/lonwi-the-westin-london-city/dining/,4.1,N/A,N/A,https://www.google.com/maps/place/Mosaic/data=!4m7!3m6!1s0x48760355c1f82abf:0x394cd9619afffa97!8m2!3d51.510918!4d-0.0952891!16s%2Fg%2F11rcqd93ws!19sChIJvyr4wVUDdkgRl_r_mmHZTDk
,,"العنوان: 27 Lime St, London EC3M 7HR، المملكة المتحدة",الهاتف: +44 20 7283 5571,https://www.nandos.co.uk/restaurants/lime-street?utm_campaign=websitecta_NA&utm_content=Multi-Chan_GB_NA_NA_NA_all_NA_NA_lime-street&utm_medium=mybusiness&utm_source=google&utm_term=Local,,N/A,N/A,https://www.google.com/maps/place/Nando%27s+Lime+Street/data=!4m7!3m6!1s0x4876035266c2b3c3:0x941d6e463109ed94!8m2!3d51.512028!4d-0.083472!16s%2Fg%2F1yh9tvjl3!19sChIJw7PCZlIDdkgRlO0JMUZuHZQ
Madison,مطعم مأكولات أوروبية حديثة,"العنوان: Rooftop Terrace One, New Change, London EC4M 9AF، المملكة المتحدة",الهاتف: +44 20 3693 5160,http://www.madisonlondon.net/,4.5,N/A,N/A,https://www.google.com/maps/place/Madison/data=!4m7!3m6!1s0x487604aadc288241:0x1e9da0e9831eb42c!8m2!3d51.5138713!4d-0.0954593!16s%2Fg%2F1tmz6dnz!19sChIJQYIo3KoEdkgRLLQeg-mgnR4
Baraka London,مطعم مأكولات تركية,"العنوان: Unit 4, 1 Finsbury Ave, Broadgate, London EC2M 2PF، المملكة المتحدة",الهاتف: +44 20 3984 3030,https://www.barakarestaurant.co.uk/,4.4,N/A,N/A,https://www.google.com/maps/place/Baraka+London/data=!4m7!3m6!1s0x48761df317d54d1b:0x26803cf3427114e1!8m2!3d51.5194175!4d-0.0851817!16s%2Fg%2F11fqbnl16l!19sChIJG03VF_MddkgR4RRxQvM8gCY
Brasserie Blanc - Threadneedle Street,مطعم مأكولات فرنسية,"العنوان: Threadneedle Walk, 60 Threadneedle St, London EC2R 8HP، المملكة المتحدة",الهاتف: +44 20 7710 9440,http://brasserieblanc.com/brasseries/threadneedle-street/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,4.4,N/A,N/A,https://www.google.com/maps/place/Brasserie+Blanc+-+Threadneedle+Street/data=!4m7!3m6!1s0x4876035338619b1b:0x9721bdbf8d90abc8!8m2!3d51.5142169!4d-0.0865174!16s%2Fg%2F1hd__n753!19sChIJG5thOFMDdkgRyKuQjb-9IZc
AL DENTE Monument,مطعم مأكولات إيطالية,"العنوان: Unit 2, Providian House, 16-18 Monument St, London EC3R 8AJ، المملكة المتحدة",الهاتف: +44 20 3828 4448,https://www.pastificioaldente.com/,4.4,N/A,N/A,https://www.google.com/maps/place/AL+DENTE+Monument/data=!4m7!3m6!1s0x4876037a3019708f:0xab8bf54063d38a76!8m2!3d51.5099767!4d-0.086035!16s%2Fg%2F11ry7y7j_5!19sChIJj3AZMHoDdkgRdorTY0D1i6s
Bolton's Restaurant,مطعم مأكولات إيطالية,"العنوان: 13 Cullum St, London EC3M 7JJ، المملكة المتحدة",الهاتف: +44 20 7929 1981,http://www.boltonsrestaurant.co.uk/,4.4,N/A,N/A,https://www.google.com/maps/place/Bolton%27s+Restaurant/data=!4m7!3m6!1s0x487603527ead829d:0x2b91c50a78eba5fe!8m2!3d51.512025!4d-0.082885!16s%2Fg%2F1tfm0ycz!19sChIJnYKtflIDdkgR_qXreArFkSs
